Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,9/8/2022,-0.072166062,0.018492168,0.017188596,21,100
Market-Adjusted Model,10028,9/8/2022,-0.3057325,-0.26480057,-0.216377842,21,100
Market-Adjusted Model,10032,9/8/2022,-0.051500362,0.04051381,0.037854297,21,100
Market-Adjusted Model,10044,9/8/2022,-0.093930646,-0.001302273,-0.004575988,21,100
Market-Adjusted Model,10051,9/8/2022,0.006458603,0.097429953,0.095813261,21,100
Market-Adjusted Model,10065,9/8/2022,-0.08737278,0.001467543,0.001981879,21,100
Market-Adjusted Model,10066,9/8/2022,-0.040678008,0.050492979,0.04867665,21,100
Market-Adjusted Model,10104,9/8/2022,-0.135846152,-0.051631828,-0.046491494,21,100
Market-Adjusted Model,10107,9/8/2022,-0.12827379,-0.042561371,-0.038919132,21,100
Market-Adjusted Model,10113,9/8/2022,-0.079683669,0.00923248,0.009670989,21,100
Market-Adjusted Model,10138,9/8/2022,-0.125434882,-0.036869811,-0.036080224,21,100
Market-Adjusted Model,10145,9/8/2022,-0.12300685,-0.037345844,-0.033652191,21,100
Market-Adjusted Model,10158,9/8/2022,0.051399701,0.153235603,0.14075436,21,100
Market-Adjusted Model,10200,9/8/2022,-0.15209139,-0.061687534,-0.062736731,21,100
Market-Adjusted Model,10207,9/8/2022,-0.089824233,0.000626321,-0.000469574,21,100
Market-Adjusted Model,10220,9/8/2022,-0.029162801,0.064884386,0.060191858,21,100
Market-Adjusted Model,10252,9/8/2022,-0.039191726,0.052458707,0.050162933,21,100
Market-Adjusted Model,10253,9/8/2022,-0.206285724,-0.125198005,-0.116931066,21,100
Market-Adjusted Model,10257,9/8/2022,-0.229325461,-0.160541176,-0.139970803,21,100
Market-Adjusted Model,10258,9/8/2022,-0.131563031,-0.041762213,-0.042208373,21,100
Market-Adjusted Model,10294,9/8/2022,-0.116219862,-0.025802745,-0.026865204,21,100
Market-Adjusted Model,10308,9/8/2022,0.006397485,0.100087953,0.095752143,21,100
Market-Adjusted Model,10318,9/8/2022,-0.104981278,-0.016507197,-0.01562662,21,100
Market-Adjusted Model,10333,9/8/2022,-0.108539912,-0.000196545,-0.019185254,21,100
Market-Adjusted Model,10355,9/8/2022,-0.008952152,0.085227085,0.080402507,21,100
Market-Adjusted Model,10382,9/8/2022,-0.174398757,-0.093436531,-0.085044098,21,100
Market-Adjusted Model,10397,9/8/2022,-0.100587518,-0.011953494,-0.011232859,21,100
Market-Adjusted Model,10421,9/8/2022,-0.212945549,-0.14063265,-0.123590891,21,100
Market-Adjusted Model,10443,9/8/2022,-0.034428789,0.057630166,0.05492587,21,100
Market-Adjusted Model,10463,9/8/2022,-0.004132225,0.118464854,0.085222434,21,100
Market-Adjusted Model,10501,9/8/2022,-0.044693847,0.05917085,0.044660811,21,100
Market-Adjusted Model,10514,9/8/2022,-0.459363955,-0.411981278,-0.370009297,21,100
Market-Adjusted Model,10516,9/8/2022,-0.022487257,0.071959352,0.066867401,21,100
Market-Adjusted Model,10517,9/8/2022,-0.130628376,-0.034613438,-0.041273717,21,100
Market-Adjusted Model,10530,9/8/2022,-0.022595472,0.069114793,0.066759186,21,100
Market-Adjusted Model,10547,9/8/2022,-0.274796389,-0.218294641,-0.185441731,21,100
Market-Adjusted Model,10550,9/8/2022,-0.068965447,0.032052772,0.020389211,21,100
Market-Adjusted Model,10606,9/8/2022,-0.152434812,-0.069626071,-0.063080153,21,100
Market-Adjusted Model,10629,9/8/2022,-0.025542163,0.067539215,0.063812496,21,100
Market-Adjusted Model,10645,9/8/2022,-0.196117767,-0.120414646,-0.106763109,21,100
Market-Adjusted Model,10649,9/8/2022,-0.116611933,-0.023044825,-0.027257274,21,100
Market-Adjusted Model,10661,9/8/2022,-0.235521202,-0.170222659,-0.146166544,21,100
Market-Adjusted Model,10693,9/8/2022,-0.050375333,0.044038671,0.038979326,21,100
Market-Adjusted Model,10696,9/8/2022,-0.070276431,0.021064655,0.019078228,21,100
Market-Adjusted Model,10777,9/8/2022,-0.004695843,0.089564057,0.084658816,21,100
Market-Adjusted Model,10779,9/8/2022,-0.168000022,-0.06905739,-0.078645364,21,100
Market-Adjusted Model,10781,9/8/2022,0.012195168,0.104487182,0.101549826,21,100
Market-Adjusted Model,10812,9/8/2022,-0.119504603,-0.031180064,-0.030149945,21,100
Market-Adjusted Model,10860,9/8/2022,-0.117936176,-0.025304046,-0.028581517,21,100
Market-Adjusted Model,10866,9/8/2022,-0.150097795,-0.04930035,-0.060743136,21,100
Market-Adjusted Model,10874,9/8/2022,-0.157946778,-0.073968556,-0.068592119,21,100
Market-Adjusted Model,10886,9/8/2022,0.093750009,0.207558671,0.183104667,21,100
Market-Adjusted Model,10890,9/8/2022,-0.115217333,-0.026080045,-0.025862674,21,100
Market-Adjusted Model,10892,9/8/2022,-0.003040159,0.090732894,0.086314499,21,100
Market-Adjusted Model,10901,9/8/2022,-0.075062798,0.01976362,0.014291861,21,100
Market-Adjusted Model,10932,9/8/2022,-0.042672755,0.050353511,0.046681903,21,100
Market-Adjusted Model,10933,9/8/2022,-0.078574322,0.010705578,0.010780336,21,100
Market-Adjusted Model,10966,9/8/2022,0.124744401,0.226965584,0.21409906,21,100
Market-Adjusted Model,11006,9/8/2022,-0.052959523,0.038245937,0.036395136,21,100
Market-Adjusted Model,11018,9/8/2022,-0.050033349,0.04282809,0.03932131,21,100
Market-Adjusted Model,11043,9/8/2022,-0.026946086,0.066151467,0.062408573,21,100
Market-Adjusted Model,11144,9/8/2022,-0.097805823,-0.006904523,-0.008451165,21,100
Market-Adjusted Model,11153,9/8/2022,0.356884026,0.413507828,0.446238685,21,100
Market-Adjusted Model,11154,9/8/2022,-0.355670122,-0.299894806,-0.266315463,21,100
Market-Adjusted Model,11174,9/8/2022,-0.165961952,-0.083307709,-0.076607293,21,100
Market-Adjusted Model,11203,9/8/2022,0.045437531,0.145867396,0.134792189,21,100
Market-Adjusted Model,11208,9/8/2022,-0.052724688,0.038958603,0.03662997,21,100
Market-Adjusted Model,11264,9/8/2022,-0.3357691,-0.274736812,-0.246414442,21,100
Market-Adjusted Model,11267,9/8/2022,-0.151932811,-0.066898178,-0.062578152,21,100
Market-Adjusted Model,11275,9/8/2022,-0.055201596,0.043503777,0.034153062,21,100
Market-Adjusted Model,11285,9/8/2022,0.027216339,0.120379114,0.116570998,21,100
Market-Adjusted Model,11292,9/8/2022,-0.028160189,0.071461156,0.06119447,21,100
Market-Adjusted Model,11293,9/8/2022,0.035759828,0.127685223,0.125114486,21,100
Market-Adjusted Model,11308,9/8/2022,-0.071137297,0.018571082,0.018217361,21,100
Market-Adjusted Model,11368,9/8/2022,0.333527129,0.411813349,0.422881787,21,100
Market-Adjusted Model,11369,9/8/2022,-0.037918969,0.054674568,0.05143569,21,100
Market-Adjusted Model,11370,9/8/2022,-0.142523759,-0.059773546,-0.0531691,21,100
Market-Adjusted Model,11379,9/8/2022,0.266203609,0.357864097,0.355558267,21,100
